route_name,order,km_marker,landmark_name
Doña Pilar Subd. via JP Laurel Avenue,7,7.0,Philhealth Office
Doña Pilar Subd. via JP Laurel Avenue,8,8.0,Agro School Foundation
Doña Pilar Subd. via JP Laurel Avenue,9,9.0,Almendras Gym
Doña Pilar Subd. via JP Laurel Avenue,10,10.0,BPI (Claveria)
Doña Pilar Subd. via JP Laurel Avenue,11,11.0,Guerrero cor. Magsaysay Ave.
Doña Pilar Subd. via JP Laurel Avenue,12,12.0,F. Bangoy cor. Magsaysay Ave.
Doña Pilar Subd. via JP Laurel Avenue,13,13.0,Magsaysay Ave. (Park)
Bunawan via Sasa,1,1.0,Bunawan
Bunawan via Sasa,2,2.0,Sasa
Bunawan via Sasa,3,3.0,Victoria Plaza
Bunawan via Sasa,4,4.0,Gaisano Mall
Bunawan via Sasa,5,5.0,Regina Complex
Bunawan via Sasa,6,6.0,Corner San Pedro & Iñigo (Anda) Sts.
Bunawan via Sasa,7,7.0,Bankerohan
Bunawan via Buhangin,1,1.0,Bunawan
Bunawan via Buhangin,2,2.0,U-One Trading (Buhangin)
Bunawan via Buhangin,3,3.0,NHA Crossing (San Antonio Buhangin)
Bunawan via Buhangin,4,4.0,San Antonio VII (front GSIS)
Bunawan via Buhangin,5,5.0,Davao Exec. Homes (Quimpo Blvd.)
Bunawan via Buhangin,6,6.0,SM City Davao
Bunawan via Buhangin,7,7.0,Philhealth Office
Bunawan via Buhangin,8,8.0,Agro School Foundation
Bunawan via Buhangin,9,9.0,Almendras Gym
Bunawan via Buhangin,10,10.0,BPI (Claveria)
Bunawan via Buhangin,11,11.0,Guerrero cor. Magsaysay Ave.
Bunawan via Buhangin,12,12.0,F. Bangoy cor. Magsaysay Ave.
Bunawan via Buhangin,13,13.0,Magsaysay Ave. (Park)
Cabantian / Emily / Suraya Homes,1,1.0,Cabantian
Cabantian / Emily / Suraya Homes,2,2.0,Emily Homes
Cabantian / Emily / Suraya Homes,3,3.0,Suraya Homes
Cabantian / Emily / Suraya Homes,4,4.0,Victoria Plaza
Cabantian / Emily / Suraya Homes,5,5.0,Gaisano Mall
Cabantian / Emily / Suraya Homes,6,6.0,Regina Complex
Cabantian / Emily / Suraya Homes,7,7.0,Corner San Pedro & Iñigo (Anda) Sts.
Cabantian / Emily / Suraya Homes,8,8.0,Bankerohan
Buhangin via JP Laurel Avenue,1,1.0,U-One Trading (Buhangin)
Buhangin via JP Laurel Avenue,2,2.0,NHA Crossing (San Antonio Buhangin)
Buhangin via JP Laurel Avenue,3,3.0,San Antonio VII (front GSIS)
Buhangin via JP Laurel Avenue,4,4.0,Davao Exec. Homes (Quimpo Blvd.)
Buhangin via JP Laurel Avenue,5,5.0,SM City Davao
Buhangin via JP Laurel Avenue,6,6.0,Philhealth Office
Buhangin via JP Laurel Avenue,7,7.0,Agro School Foundation
Buhangin via JP Laurel Avenue,8,8.0,Almendras Gym
Buhangin via JP Laurel Avenue,9,9.0,BPI (Claveria)
